ident,type,zone,commune,code_commune,latitude,longitude,comptage_5m,mesure_timestamp,hpm_val_2022,hps_val_2022,mjo_val_2022,indice_congestion_matin,indice_congestion_soir,donnee_annuelle_disponible
Z25CT13,BOUCLE,25,Bordeaux,33063,44.8748929,-0.5765822,21,2026-09-25T14:20:00+02:00,551,522,6413,0.085919,0.081397,oui
Z25CT6,BOUCLE,25,Bordeaux,33063,44.8756901,-0.5690752,23,2026-09-25T14:20:00+02:00,275,453,5423,0.050710,0.083533,oui
Z25CT7,BOUCLE,25,Bordeaux,33063,44.8777497,-0.5689157,0,2026-09-25T14:20:00+02:00,,,,,,non
Z25CT3,BOUCLE,25,Bordeaux,33063,44.8877117,-0.5600755,,2012-11-29T13:16:56+01:00,,,,,,non
Z25CT2,BOUCLE,25,Bordeaux,33063,44.8886359,-0.5601903,,2012-11-29T13:17:32+01:00,,,,,,non
Z16CT8,BOUCLE,16,Pessac,33318,44.8106915,-0.6213777,8,2026-09-25T14:20:00+02:00,245,290,3125,0.078400,0.092800,oui
Z25CT15,BOUCLE,25,Bordeaux,33063,44.8825258,-0.5609752,,2012-11-29T13:36:52+01:00,,,,,,non
Z16CT14,BOUCLE,16,Pessac,33318,44.805871,-0.6264487,20,2026-09-25T14:20:00+02:00,417,540,5574,0.074812,0.096878,oui
Z10CT13,BOUCLE,10,Bordeaux,33063,44.8275412,-0.5920619,14,2026-09-25T14:20:00+02:00,255,286,3549,0.071851,0.080586,oui
Z10CT14,BOUCLE,10,Bordeaux,33063,44.8270587,-0.5952369,41,2026-09-25T14:20:00+02:00,,,,,,non
Z11CT9,BOUCLE,11,Talence,33522,44.8249125,-0.5887159,72,2026-09-25T14:20:00+02:00,725,855,11840,0.061233,0.072213,oui
Z10CT15,BOUCLE,10,Talence,33522,44.823292,-0.5929325,19,2026-09-25T14:20:00+02:00,341,386,4880,0.069877,0.079098,oui
Z10CT19,BOUCLE,10,Bordeaux,33063,44.8249089,-0.5988967,0,2026-09-25T14:20:00+02:00,659,705,9105,0.072378,0.077430,oui
Z24AE,SIREDO,24,Eysines,33162,44.8641921,-0.6617532,,2012-12-07T18:07:36+01:00,,,,,,non
Z30BS,SIREDO,30,Mérignac,33281,44.8351569,-0.6318041,,2012-12-07T18:25:40+01:00,439,480,6332,0.069330,0.075805,oui
Z30BE,SIREDO,30,Mérignac,33281,44.8351252,-0.6318109,,2012-12-07T18:26:40+01:00,245,532,5556,0.044096,0.095752,oui
Z25BE,SIREDO,25,Bruges,33075,44.8787392,-0.5821025,,2012-12-10T08:52:32+01:00,,,,,,non
Z25BS,SIREDO,25,Bruges,33075,44.8787561,-0.5820737,,2012-12-10T08:52:48+01:00,,,,,,non
Z05BS,SIREDO,5,Floirac,33167,44.820897,-0.5320158,,2014-03-07T09:59:56+01:00,419,834,8186,0.051185,0.101881,oui
Z17AS,SIREDO,17,Talence,33522,44.8069271,-0.591717,,2012-12-10T09:11:00+01:00,303,459,5788,0.052350,0.079302,oui
Z17CE,SIREDO,17,Gradignan,33192,44.7884081,-0.6118287,,2012-12-10T09:15:28+01:00,,,,,,non
Z17DE,SIREDO,17,Talence,33522,44.7886195,-0.5906687,,2012-12-10T09:18:20+01:00,375,358,3857,0.097226,0.092818,oui
Z17DS,SIREDO,17,Talence,33522,44.7886155,-0.5907097,,2012-12-10T09:18:40+01:00,206,517,4038,0.051015,0.128034,oui
Z17EE,SIREDO,17,Talence,33522,44.8132443,-0.5865581,,2012-12-10T09:20:44+01:00,102,202,1785,0.057143,0.113165,oui
Z23AE,SIREDO,23,Eysines,33162,44.8782443,-0.644707,,2012-12-10T09:24:44+01:00,,,,,,non
Z28CT1,BOUCLE,28,Saint-Médard-en-Jalles,33449,44.8867913,-0.6950881,28,2026-09-25T14:20:00+02:00,189,583,6468,0.029221,0.090136,oui
Z28CT8,BOUCLE,28,Saint-Médard-en-Jalles,33449,44.8871522,-0.6962577,,2012-11-20T16:53:48+01:00,508,497,6620,0.076737,0.075076,oui
Z28CT4,BOUCLE,28,Saint-Médard-en-Jalles,33449,44.8974092,-0.7225626,9,2026-09-25T14:20:00+02:00,373,175,2730,0.136630,0.064103,oui
Z9CT2,BOUCLE,9,Bordeaux,33063,44.8329764,-0.5987084,40,2026-09-25T14:20:00+02:00,690,650,9784,0.070523,0.066435,oui
Z9CT7,BOUCLE,9,Bordeaux,33063,44.8338478,-0.5902949,35,2026-09-25T14:20:00+02:00,531,456,6730,0.078900,0.067756,oui
Z9CT12,BOUCLE,9,Bordeaux,33063,44.8332291,-0.6017359,0,2026-09-25T14:20:00+02:00,479,514,7678,0.062386,0.066945,oui
Z7CT2,BOUCLE,7,Mérignac,33281,44.8411897,-0.6436765,33,2026-09-25T14:20:00+02:00,,,,,,non
Z2CT10,BOUCLE,2,Bordeaux,33063,44.8350142,-0.5756565,29,2026-09-25T14:20:00+02:00,438,342,5576,0.078551,0.061334,oui
Z2CT16,BOUCLE,2,Bordeaux,33063,44.8349239,-0.5725545,40,2026-09-25T14:20:00+02:00,407,530,6919,0.058824,0.076601,oui
Z2CT15,BOUCLE,2,Bordeaux,33063,44.8347765,-0.5780099,27,2026-09-25T14:20:00+02:00,310,411,5208,0.059524,0.078917,oui
Z2CT13,BOUCLE,2,Bordeaux,33063,44.8346616,-0.579937,27,2026-09-25T14:20:00+02:00,283,345,4663,0.060691,0.073987,oui
Z2CT3,BOUCLE,2,Bordeaux,33063,44.8360725,-0.5668716,29,2026-09-25T14:20:00+02:00,540,608,9497,0.056860,0.064020,oui
Z2CT21,BOUCLE,2,Bordeaux,33063,44.8364488,-0.5651526,16,2026-09-25T14:20:00+02:00,287,391,4804,0.059742,0.081391,oui
Z2CT4,BOUCLE,2,Bordeaux,33063,44.8379246,-0.5686221,0,2026-09-25T14:20:00+02:00,131,214,3088,0.042422,0.069301,oui
Z2CT23,BOUCLE,2,Bordeaux,33063,44.8359343,-0.5824028,1,2026-09-25T14:20:00+02:00,292,438,5416,0.053914,0.080871,oui
Z2CT7,BOUCLE,2,Bordeaux,33063,44.8358328,-0.5839379,9,2026-09-25T14:20:00+02:00,420,350,5223,0.080414,0.067011,oui
Z1CT12,BOUCLE,1,Bordeaux,33063,44.8328063,-0.5608282,57,2026-09-25T14:20:00+02:00,,,,,,non
Z1CT4,BOUCLE,1,Bordeaux,33063,44.8394545,-0.5682398,73,2026-09-25T14:20:00+02:00,812,1001,13795,0.058862,0.072563,oui
Z1CT16,BOUCLE,1,Bordeaux,33063,44.8487995,-0.570332,44,2026-09-25T14:20:00+02:00,739,700,9726,0.075982,0.071972,oui
Z1CT9,BOUCLE,1,Bordeaux,33063,44.8518342,-0.5684556,34,2026-09-25T14:20:00+02:00,662,603,9507,0.069633,0.063427,oui
Z1CT14,BOUCLE,1,Bordeaux,33063,44.8541722,-0.5657623,22,2026-09-25T14:20:00+02:00,554,529,7886,0.070251,0.067081,oui
Z19CT2,BOUCLE,19,Bègles,33039,44.8032594,-0.5715465,31,2026-09-25T14:20:00+02:00,397,377,5591,0.071007,0.067430,oui
Z19CT8,BOUCLE,19,Bègles,33039,44.7858246,-0.5663565,0,2026-09-25T14:20:00+02:00,703,687,9817,0.071610,0.069981,oui
Z19CT5,BOUCLE,19,Villenave-d'Ornon,33550,44.7838739,-0.5662327,47,2026-09-25T14:20:00+02:00,,,,,,non
Z19CT9,BOUCLE,19,Villenave-d'Ornon,33550,44.7811573,-0.5682288,50,2026-09-25T14:20:00+02:00,365,571,7421,0.049185,0.076944,oui
Z19CT6,BOUCLE,19,Villenave-d'Ornon,33550,44.7815844,-0.5642214,38,2026-09-25T14:20:00+02:00,569,408,6322,0.090003,0.064537,oui
Z19CT12,BOUCLE,19,Villenave-d'Ornon,33550,44.777231,-0.5740442,3,2026-09-25T14:20:00+02:00,233,59,1028,0.226654,0.057393,oui
Z19CT14,BOUCLE,19,Villenave-d'Ornon,33550,44.778297,-0.5642516,45,2026-09-25T14:20:00+02:00,470,964,11591,0.040549,0.083168,oui
Z19CT7,BOUCLE,19,Villenave-d'Ornon,33550,44.7800108,-0.5660716,26,2026-09-25T14:20:00+02:00,301,554,6733,0.044705,0.082281,oui
Z14CT1,BOUCLE,14,Le Bouscat,33069,44.8597906,-0.5890063,60,2026-09-25T14:20:00+02:00,955,753,13406,0.071237,0.056169,oui
Z14CT10,BOUCLE,14,Bordeaux,33063,44.867786,-0.5714453,60,2026-09-25T14:20:00+02:00,988,1005,14181,0.069671,0.070869,oui
Z30CT4,BOUCLE,30,Mérignac,33281,44.8327051,-0.6627165,53,2026-09-25T14:20:00+02:00,,,,,,non
Z30CT21,BOUCLE,30,Mérignac,33281,44.8280484,-0.6643523,23,2026-09-25T14:20:00+02:00,,,,,,non
Z26BS,SIREDO,26,Bègles,33039,44.8157478,-0.5486374,,2012-12-11T08:41:04+01:00,84,164,1900,0.044211,0.086316,oui
Z26AE,SIREDO,26,Bègles,33039,44.7966189,-0.5415183,,2012-12-11T08:51:48+01:00,684,716,9156,0.074705,0.078200,oui
Z10AE,SIREDO,10,Talence,33522,44.8156522,-0.6005556,,2012-12-11T09:22:32+01:00,312,415,4607,0.067723,0.090080,oui
Z16AE,SIREDO,16,Pessac,33318,44.8143854,-0.6113344,,2012-12-12T16:45:40+01:00,336,479,5252,0.063976,0.091203,oui
Z16BE,SIREDO,16,Pessac,33318,44.8054054,-0.6504409,,2012-12-12T16:50:20+01:00,332,678,6391,0.051948,0.106087,oui
Z16DE,SIREDO,16,Pessac,33318,44.7891307,-0.6352414,,2012-12-12T16:56:44+01:00,,,,,,non
Z7CT13,BOUCLE,7,Mérignac,33281,44.8432884,-0.6489505,21,2026-09-25T14:20:00+02:00,169,125,1921,0.087975,0.065070,oui
Z7CT14,BOUCLE,7,Mérignac,33281,44.845128,-0.6594776,19,2026-09-25T14:20:00+02:00,170,157,2013,0.084451,0.077993,oui
Z13CT17,BOUCLE,13,Bordeaux,33063,44.8451876,-0.5920899,,2014-01-08T07:35:56+01:00,,,,,,non
Z30CT11,BOUCLE,30,Mérignac,33281,44.8292504,-0.6630016,28,2026-09-25T14:20:00+02:00,,,,,,non
Z30CT19,BOUCLE,30,Mérignac,33281,44.8367675,-0.647135,0,2026-09-25T14:20:00+02:00,530,362,5303,0.099943,0.068263,oui
Z30CT17,BOUCLE,30,Mérignac,33281,44.830403,-0.6398104,32,2026-09-25T14:20:00+02:00,384,454,5641,0.068073,0.080482,oui
Z30CT13,BOUCLE,30,Mérignac,33281,44.8261471,-0.6376485,0,2026-09-25T14:20:00+02:00,445,478,6121,0.072701,0.078092,oui
Z21CT3,BOUCLE,21,Le Bouscat,33069,44.866671,-0.6063372,23,2026-09-25T14:20:00+02:00,372,374,4816,0.077243,0.077658,oui
Z21CT7,BOUCLE,21,Le Bouscat,33069,44.8652871,-0.603101,,2012-11-15T16:23:24+01:00,,,,,,non
Z21CT6,BOUCLE,21,Le Bouscat,33069,44.8634045,-0.6031922,13,2026-09-25T14:20:00+02:00,139,150,1982,0.070131,0.075681,oui
Z15CT12,BOUCLE,15,Bordeaux,33063,44.8650082,-0.575676,32,2026-09-25T14:20:00+02:00,364,331,4847,0.075098,0.068290,oui
Z15CT13,BOUCLE,15,Bordeaux,33063,44.8554175,-0.5744998,2,2026-09-25T14:20:00+02:00,56,81,1100,0.050909,0.073636,oui
Z15CT2,BOUCLE,15,Bordeaux,33063,44.8528892,-0.573105,25,2026-09-25T14:20:00+02:00,260,363,4593,0.056608,0.079033,oui
Z31CT5,BOUCLE,31,Lormont,33249,44.8859798,-0.5186744,0,2026-09-25T14:20:00+02:00,,,,,,non
Z29CT3,BOUCLE,29,Cenon,33119,44.845979,-0.5346344,,2012-11-19T17:21:04+01:00,,,,,,non
Z29CT9,BOUCLE,29,Floirac,33167,44.8472874,-0.5089011,0,2026-09-25T14:20:00+02:00,423,312,3762,0.112440,0.082935,oui
Z29CT15,BOUCLE,29,Cenon,33119,44.8528015,-0.5084824,13,2026-09-25T14:20:00+02:00,542,435,5741,0.094409,0.075771,oui
Z29CT14,BOUCLE,29,Cenon,33119,44.8536075,-0.5099547,28,2026-09-25T14:20:00+02:00,431,460,5666,0.076068,0.081186,oui
Z17CT7,BOUCLE,17,Talence,33522,44.8111239,-0.591116,21,2026-09-25T14:20:00+02:00,413,456,5940,0.069529,0.076768,oui
