collected_at,feed_timestamp,entity_id,trip_id,route_id,direction_id,stop_id,stop_sequence,arrival_delay_seconds,departure_delay_seconds
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436731_25|b_268436731,b_268436731_25,08,1,3230,9,-1,-1
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436731_25|b_268436731,b_268436731_25,08,1,3229,10,-1,-1
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436731_25|b_268436731,b_268436731_25,08,1,3228,11,-1,-1
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436731_25|b_268436731,b_268436731_25,08,1,3241,12,-1,-1
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436731_25|b_268436731,b_268436731_25,08,1,30,13,-1,-1
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436731_25|b_268436731,b_268436731_25,08,1,3226,14,0,0
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436731_25|b_268436731,b_268436731_25,08,1,3224,15,-1,-1
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436731_25|b_268436731,b_268436731_25,08,1,294,16,-1,-1
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436731_25|b_268436731,b_268436731_25,08,1,3881,17,0,0
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436731_25|b_268436731,b_268436731_25,08,1,3879,18,-1,-1
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436731_25|b_268436731,b_268436731_25,08,1,1671,19,-1,-1
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436731_25|b_268436731,b_268436731_25,08,1,1656,20,-1,-1
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436731_25|b_268436731,b_268436731_25,08,1,3577,21,-2,-2
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436731_25|b_268436731,b_268436731_25,08,1,6751,22,-2,-2
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436731_25|b_268436731,b_268436731_25,08,1,3509,23,-1,-1
2026-09-25T12:48:28.063374+00:00,1790340493,RT|b_268436731_25|b_268436731,b_268436731_25,08,1,1361,24,-1,-1
