stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding,parent_station
9241,AUG80R,Barrière Saint-Augustin,44.83322000,-0.59781200,0,BBAUGU
3747,BGENA,Barrière Saint-Genès,44.82077100,-0.58313600,1,TBGENE
3748,BGENR,Barrière Saint-Genès,44.82157400,-0.58256700,1,TBGENE
4057,BGEN9A,Barrière Saint-Genès,44.82093600,-0.58223500,1,BBGENE
4154,BGEN9R,Barrière Saint-Genès,44.82143100,-0.58334300,1,BBGENE
9108,SBGENES,Barrière Saint-Genès (rue Saint-Genès),44.82153900,-0.58280500,0,BBGENE
2973,BSM51A,Barrière Saint-Médard,44.84841900,-0.59797600,1,BBSMED
9185,BSMEDA,Barrière Saint-Médard,44.84651900,-0.59765100,1,BBSMED
9808,BMEDH1,Barrière Saint-Médard,44.84772500,-0.59770300,1,BBSMED
9816,BMEDH2,Barrière Saint-Médard,44.84763600,-0.59793800,1,BBSMED
1533,BAR38R,Barrès,44.88755800,-0.54684500,1,BBARRE
1581,BAR38A,Barrès,44.88727700,-0.54743600,1,BBARRE
5602,BARR75,Barrès,44.88707673,-0.54610503,0,
13205,BAR39A,Barthès,44.77267430,-0.60140174,0,
13206,BAR39R,Barthès,44.77270579,-0.60126458,0,
3238,BAR80A,Barthès,44.76887000,-0.60281500,1,BBARTHS
538,BAR80R,Barthès,44.76894000,-0.60232600,1,BBARTHS
2167,TOUR9A,Base sous-marine,44.87289400,-0.55923900,1,BTOURVI
516,TOUR9R,Base sous-marine,44.87289800,-0.55940400,1,BTOURVI
15111,FICT02,Bassins à Flot,44.86270118,-0.55135711,0,
8972,BAS04R,Bassins à Flot,44.86877100,-0.55711500,1,BBASSIF
8973,BASS04,Bassins à Flot,44.86927500,-0.55658900,1,BBASSIN
9715,BASCU,Bastide Darwin,44.85204800,-0.56149000,1,BBASTO
6349,BAU29A,Baudon,44.88336200,-0.62952700,1,BBAUDO
9087,BAUD10,Bauducheu,44.82244300,-0.55948600,0,BBAUDUC
9088,BAU10R,Bauducheu,44.82241000,-0.55940800,0,BBAUDUC
13080,BAZ30A,Bazin,44.82661709,-0.65120135,0,
1470,BAZ75R,Bazin,44.82660300,-0.65191000,0,BBAZIN
1485,BAZ75A,Bazin,44.82668400,-0.65244700,0,BBAZIN
9103,BAZ42A,Bazin,44.82655497,-0.65117198,0,
9104,BAZ42R,Bazin,44.82624877,-0.65116473,0,
2239,TBEA50,Beaudésert,44.84501900,-0.68424800,1,BTBEAUD
5760,TBE11R,Beaudésert,44.84507300,-0.68480900,0,BTBEAUD
1701,BEA93R,Beaujet,44.94679800,-0.51137900,0,BBEAUJE
1920,BEA93A,Beaujet,44.94680800,-0.51132900,0,BBEAUJE
13118,BRE31A,Beauregard,45.00891101,-0.52339433,0,
1684,BRG92R,Beauregard,45.00920600,-0.52347600,1,BBRGARD
2088,BRG92A,Beauregard,45.00827398,-0.52188046,0,
3016,CBEAU,Beausite,44.85303410,-0.52724267,0,
3624,CEB62A,Beausite,44.85303200,-0.52731900,1,BCEBEAU
3625,CEB62R,Beausite,44.85293651,-0.52747727,0,
7421,CEB27A,Beausite,44.85293651,-0.52747727,0,
7798,CBE27R,Beausite,44.85290400,-0.52708200,0,BCBEAU2
1616,TBEAUS,Beausoleil,44.75774900,-0.62516200,1,BBEAUSO
707,BEA22R,Beautiran,44.82194900,-0.57120700,0,BBEAUT
742,BEA22A,Beautiran,44.82149800,-0.57149400,0,BBEAUT
1898,CHE92R,Beauvais,44.94995800,-0.48770500,0,BBEAUVA
2156,CHE92A,Beauvais,44.94963100,-0.48779800,1,BBEAUVA
